Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7831325301204819,0.7847494553376906,0.7847494553376907,0.7823752451972884,0.050003767013549805
LGBMClassifier,0.7771084337349398,0.7777051561365287,0.7777051561365287,0.7770679888853181,0.0440061092376709
QuadraticDiscriminantAnalysis,0.7710843373493976,0.7721132897603485,0.7721132897603487,0.7708183496513287,0.004987955093383789
XGBClassifier,0.7710843373493976,0.7718228031953522,0.7718228031953522,0.7709846354057344,0.05672049522399902
LinearSVC,0.7650602409638554,0.765359477124183,0.7653594771241831,0.7650858195984811,0.015717506408691406
CalibratedClassifierCV,0.7650602409638554,0.765359477124183,0.7653594771241831,0.7650858195984811,0.015999794006347656
BernoulliNB,0.7650602409638554,0.7636165577342048,0.7636165577342048,0.7640565548424392,0.0060002803802490234
GaussianNB,0.7590361445783133,0.7591866376180101,0.7591866376180103,0.7590711277164407,0.004000425338745117
LogisticRegression,0.7590361445783133,0.7588961510530138,0.7588961510530139,0.7590361445783133,0.005995750427246094
SVC,0.7590361445783133,0.7588961510530138,0.7588961510530139,0.7590361445783133,0.010997533798217773
KNeighborsClassifier,0.7530120481927711,0.7530137981118373,0.7530137981118373,0.7530389463615526,0.009013652801513672
RandomForestClassifier,0.7530120481927711,0.7527233115468409,0.7527233115468408,0.7529671918577656,0.10783171653747559
NuSVC,0.7530120481927711,0.7515613652868555,0.7515613652868555,0.7519568909882053,0.012990236282348633
RidgeClassifierCV,0.7469879518072289,0.7453885257806827,0.7453885257806827,0.7456932995138449,0.0049974918365478516
LinearDiscriminantAnalysis,0.7469879518072289,0.7453885257806827,0.7453885257806827,0.7456932995138449,0.005992889404296875
RidgeClassifier,0.7469879518072289,0.7453885257806827,0.7453885257806827,0.7456932995138449,0.005001544952392578
BaggingClassifier,0.7409638554216867,0.7418300653594772,0.7418300653594772,0.7407663834996574,0.019509077072143555
NearestCentroid,0.7409638554216867,0.7392156862745098,0.7392156862745098,0.7394000281246459,0.10492205619812012
PassiveAggressiveClassifier,0.7349397590361446,0.7376906318082789,0.7376906318082789,0.7318328258087294,0.0050029754638671875
Perceptron,0.7289156626506024,0.7335511982570806,0.7335511982570806,0.7192047245692483,0.005004405975341797
ExtraTreeClassifier,0.7289156626506024,0.7294843863471314,0.7294843863471314,0.72886647296863,0.005000591278076172
ExtraTreesClassifier,0.7289156626506024,0.729193899782135,0.7291938997821351,0.7289451764597857,0.08374357223510742
LabelSpreading,0.7289156626506024,0.7286129266521424,0.7286129266521424,0.7288664300877915,0.022016048431396484
LabelPropagation,0.7289156626506024,0.7286129266521424,0.7286129266521424,0.7288664300877915,0.014981508255004883
DecisionTreeClassifier,0.7228915662650602,0.7250544662309368,0.7250544662309368,0.720950634582691,0.0060002803802490234
SGDClassifier,0.7168674698795181,0.7206245461147422,0.7206245461147422,0.7103619272293972,0.00600433349609375
DummyClassifier,0.4879518072289157,0.5,0.5,0.3200331691137018,0.004999637603759766
